readout,metric,method,shortlist_size,comparator,comparator_budget,target_domain,paired_loss_difference
logistic,error_rate,second_moment_mmd,100,exhaustive,455,real,0.0
logistic,error_rate,second_moment_mmd,100,exhaustive,455,sketch,0.0
logistic,error_rate,second_moment_mmd,100,random,100,clipart,-0.021463012695312506
logistic,error_rate,second_moment_mmd,100,random,100,infograph,-0.008215332031250008
logistic,error_rate,second_moment_mmd,100,random,100,painting,-0.013778686523437493
logistic,error_rate,second_moment_mmd,100,random,100,quickdraw,-0.007794189453125003
logistic,error_rate,second_moment_mmd,100,random,100,real,-0.019665527343750003
logistic,error_rate,second_moment_mmd,100,random,100,sketch,-0.005905151367187493
logistic,error_rate,second_moment_mmd,100,random,227,clipart,-0.009301757812499999
logistic,error_rate,second_moment_mmd,100,random,227,infograph,-0.004244995117187497
logistic,error_rate,second_moment_mmd,100,random,227,painting,-0.005636596679687508
logistic,error_rate,second_moment_mmd,100,random,227,quickdraw,-0.0053802490234375056
logistic,error_rate,second_moment_mmd,100,random,227,real,-0.009909057617187494
logistic,error_rate,second_moment_mmd,100,random,227,sketch,-0.0035675048828125028
logistic,error_rate,second_moment_mmd,227,exhaustive,455,clipart,0.0
logistic,error_rate,second_moment_mmd,227,exhaustive,455,infograph,0.0
logistic,error_rate,second_moment_mmd,227,exhaustive,455,painting,0.0
logistic,error_rate,second_moment_mmd,227,exhaustive,455,quickdraw,-0.00091552734375
logistic,error_rate,second_moment_mmd,227,exhaustive,455,real,0.0
logistic,error_rate,second_moment_mmd,227,exhaustive,455,sketch,0.0
logistic,error_rate,second_moment_mmd,227,random,227,clipart,-0.009301757812499999
logistic,error_rate,second_moment_mmd,227,random,227,infograph,-0.0014984130859374972
logistic,error_rate,second_moment_mmd,227,random,227,painting,-0.005636596679687508
logistic,error_rate,second_moment_mmd,227,random,227,quickdraw,-0.0015350341796875056
logistic,error_rate,second_moment_mmd,227,random,227,real,-0.009909057617187494
