construction,readout,metric,method,shortlist_size,domain_count,repeated_task_count,test_loss,oracle_loss,full_validation_test_loss,gap_to_full,absolute_omission,recall_at_top_q,worst_repeated_task_gap
original,ridge,nll,mean_matching,10,6,12,4.4664194853631525,4.462408575233982,4.462854275247988,0.0035652101151637527,0.0038906985496856747,0.21666666666666665,0.017031042446125966
original,ridge,nll,mean_matching,25,6,12,4.464648795509082,4.462408575233982,4.462854275247988,0.001794520261094205,0.0018850445732538172,0.425,0.008050037374682795
original,ridge,nll,mean_matching,50,6,12,4.463419854375672,4.462408575233982,4.462854275247988,0.0005655791276834391,0.0005940009927868731,0.6333333333333333,0.006928858773338931
original,ridge,nll,mean_matching,100,6,12,4.463178296428275,4.462408575233982,4.462854275247988,0.00032402118028670063,0.00016088160742825744,0.8166666666666668,0.003006951414906922
original,ridge,nll,mean_matching,227,6,12,4.4629277171437,4.462408575233982,4.462854275247988,7.34418957111238e-05,4.4360096479678646e-05,0.9333333333333335,0.0008813027485334857
original,ridge,nll,random,10,6,12,4.474851165033683,4.462408575233982,4.462854275247989,0.011996889785694888,0.012252216681726907,0.022083333333333333,0.022623709381403102
original,ridge,nll,random,25,6,12,4.470266085720799,4.462408575233982,4.462854275247989,0.007411810472810865,0.0075221263456211425,0.05583333333333334,0.014028881205099486
original,ridge,nll,random,50,6,12,4.46774983900229,4.462408575233982,4.462854275247989,0.004895563754301154,0.005041709521197091,0.11,0.009184513219420865
original,ridge,nll,random,100,6,12,4.46588618542441,4.462408575233982,4.462854275247989,0.003031910176422166,0.003035486443848826,0.22208333333333333,0.006101940256464644
original,ridge,nll,random,227,6,12,4.464198121128101,4.462408575233982,4.462854275247989,0.0013438458801122786,0.001352641508044557,0.49374999999999997,0.004741678926937354
original,ridge,nll,second_moment_mmd,10,6,12,4.464791362165948,4.462408575233982,4.462854275247988,0.001937086917959574,0.002112913030140051,0.2833333333333333,0.008050037374682795
original,ridge,nll,second_moment_mmd,25,6,12,4.463432628756851,4.462408575233982,4.462854275247988,0.0005783535088628167,0.0007335480113705254,0.5083333333333333,0.002764313110480643
original,ridge,nll,second_moment_mmd,50,6,12,4.463119752902461,4.462408575233982,4.462854275247988,0.00026547765447289723,0.00018116777097243464,0.7583333333333334,0.0023044291051412813
original,ridge,nll,second_moment_mmd,100,6,12,4.462854275247988,4.462408575233982,4.462854275247988,0.0,0.0,0.9083333333333333,0.0
original,ridge,nll,second_moment_mmd,227,6,12,4.462854275247988,4.462408575233982,4.462854275247988,0.0,0.0,0.9916666666666667,0.0
original,ridge,nll,target_a,10,6,12,4.466185400246549,4.462408575233982,4.462854275247988,0.003331124998560364,0.003776825012566413,0.22499999999999998,0.01467633446302763
original,ridge,nll,target_a,25,6,12,4.4654111324453964,4.462408575233982,4.462854275247988,0.002556857197408391,0.002752236448200588,0.44166666666666665,0.012420406961483721
original,ridge,nll,target_a,50,6,12,4.463720702863072,4.462408575233982,4.462854275247988,0.0008664276150843383,0.000822053197539733,0.6166666666666667,0.006838896804233663
original,ridge,nll,target_a,100,6,12,4.463259095042509,4.462408575233982,4.462854275247988,0.0004048197945203391,0.0004048197945203391,0.8166666666666668,0.004857837534244069
original,ridge,nll,target_a,227,6,12,4.462854275247988,4.462408575233982,4.462854275247988,0.0,0.0,0.975,0.0
hash_partition,logistic,brier_score,domain_moment,10,6,12,0.8740465625633651,0.8680219841723349,0.8684894011593195,0.005557161404045431,0.005419908306885333,0.3416666666666666,0.030368145345561537
hash_partition,logistic,brier_score,domain_moment,25,6,12,0.8714657894097999,0.8680219841723349,0.8684894011593195,0.0029763882504802532,0.0027702065655497896,0.525,0.028159551487246803
hash_partition,logistic,brier_score,domain_moment,50,6,12,0.8692474496602957,0.8680219841723349,0.8684894011593195,0.0007580485009760404,0.0009846369645669466,0.7333333333333334,0.012086279509784914
hash_partition,logistic,brier_score,domain_moment,100,6,12,0.8684654899714358,0.8680219841723349,0.8684894011593195,-2.3911187883723928e-05,1.163300162556243e-05,0.8250000000000001,0.0
hash_partition,logistic,brier_score,domain_moment,227,6,12,0.8684894011593195,0.8680219841723349,0.8684894011593195,0.0,0.0,0.9916666666666667,0.0
hash_partition,logistic,brier_score,exhaustive,455,6,12,0.8684894011593195,0.8680219841723349,0.8684894011593195,0.0,0.0,1.0,0.0
hash_partition,logistic,brier_score,mean_matching,10,6,12,0.8801830242841908,0.8680219841723349,0.8684894011593195,0.011693623124871164,0.011803959634390274,0.26666666666666666,0.0607712590554611
