target_domain,method,shortlist_size,shortlist_reduction,true_top_q_recall,selected_normalized_regret,best_shortlist_normalized_regret,screen_spearman_vs_test_brier
real,merged_effective_rank,10,0.978021978021978,0.44999999999999996,0.0,0.0,0.8738861937969288
real,merged_effective_rank,25,0.945054945054945,0.65,0.0,0.0,0.8738861937969288
real,merged_effective_rank,50,0.8901098901098901,0.9,1.3894547134601205e-06,0.0,0.8738861937969288
real,merged_effective_rank,100,0.7802197802197802,1.0,1.3894547134601205e-06,0.0,0.8738861937969288
real,merged_effective_rank,227,0.5010989010989011,1.0,1.3894547134601205e-06,0.0,0.8738861937969288
real,random,10,0.9780219780219779,0.0225,0.0003625548119065078,0.00034863703562507467,0.002058213349367998
real,random,25,0.945054945054945,0.05500000000000001,0.0002392385564017161,0.00021216508408890514,0.002058213349367998
real,random,50,0.8901098901098902,0.0975,0.00015050135929013311,0.0001318091206385981,0.002058213349367998
real,random,100,0.7802197802197803,0.185,9.72173686168967e-05,8.217549339078053e-05,0.002058213349367998
real,random,227,0.5010989010989011,0.48250000000000004,2.2961482019648265e-05,2.0703078336202727e-05,0.002058213349367998
real,second_moment_mmd,10,0.978021978021978,0.55,1.3894547134601205e-06,0.0,0.8470886000157969
real,second_moment_mmd,25,0.945054945054945,0.75,1.3894547134601205e-06,0.0,0.8470886000157969
real,second_moment_mmd,50,0.8901098901098901,1.0,1.3894547134601205e-06,0.0,0.8470886000157969
real,second_moment_mmd,100,0.7802197802197802,1.0,1.3894547134601205e-06,0.0,0.8470886000157969
real,second_moment_mmd,227,0.5010989010989011,1.0,1.3894547134601205e-06,0.0,0.8470886000157969
real,target_a,10,0.978021978021978,0.5,0.0,0.0,0.8943291811365077
real,target_a,25,0.945054945054945,0.8,1.3894547134601205e-06,0.0,0.8943291811365077
real,target_a,50,0.8901098901098901,0.95,1.3894547134601205e-06,0.0,0.8943291811365077
real,target_a,100,0.7802197802197802,1.0,1.3894547134601205e-06,0.0,0.8943291811365077
real,target_a,227,0.5010989010989011,1.0,1.3894547134601205e-06,0.0,0.8943291811365077
real,target_energy,10,0.978021978021978,0.0,0.0011333006725018082,0.0011333006725018082,-0.029286427692409606
real,target_energy,25,0.945054945054945,0.0,0.0006315512622570442,0.0006068383072490116,-0.029286427692409606
real,target_energy,50,0.8901098901098901,0.0,0.0005272640066105008,0.00047211219944385695,-0.029286427692409606
real,target_energy,100,0.7802197802197802,0.1,0.00014829244937418552,0.00014829244937418552,-0.029286427692409606
real,target_energy,227,0.5010989010989011,0.6499999999999999,6.506691639595386e-06,6.506691639595386e-06,-0.029286427692409606
sketch,bayesian_d,10,0.978021978021978,0.1,0.00023824616396857812,0.00023824616396857812,0.6808306983996759
sketch,bayesian_d,25,0.945054945054945,0.3,0.00019691781517511,0.00019691781517511,0.6808306983996759
sketch,bayesian_d,50,0.8901098901098901,0.35,7.66386616163224e-05,7.66386616163224e-05,0.6808306983996759
