alpha_target,gamma_target,repeat,alpha_actual,gamma_actual,r_eff_A,r_eff_B,r_eff_dominant,r_eff_subordinate,r_eff_merged,r_eff_ideal,collapse_ratio,delta_r,is_superadditive,nuclear_A,nuclear_B,q,r_pred_theory,pred_error,dominant_cause
0.0,10.0,3,7.744392370064489e-31,9.999999999999998,36.79288311452369,36.79288311452369,36.79288311452369,36.79288311452369,49.895984580654954,73.58576622904738,0.32193429330686346,13.103101466131264,True,31.622776601683803,316.22776601683796,0.9090909090909091,49.895984580654954,0.0,energy
0.0,10.0,4,8.950338635573965e-31,10.0,36.79288311452369,36.79288311452369,36.79288311452369,36.79288311452369,49.89598458065491,73.58576622904738,0.321934293306864,13.103101466131221,True,31.62277660168379,316.2277660168379,0.9090909090909091,49.895984580654954,4.263256414560601e-14,energy
0.05,0.1,0,0.05000000000000001,0.1,36.792883114523676,36.79288311452369,36.792883114523676,36.79288311452369,49.64954007344896,73.58576622904737,0.32528337180173006,12.856656958925285,True,31.622776601683793,3.1622776601683795,0.9112291770074531,49.64954007344894,2.1316282072803006e-14,energy
0.05,0.1,1,0.05000000000000002,0.09999999999999999,36.79288311452369,36.79288311452369,36.79288311452369,36.79288311452369,49.64954007344894,73.58576622904738,0.32528337180173045,12.85665695892525,True,31.622776601683793,3.162277660168379,0.9112291770074531,49.64954007344896,2.1316282072803006e-14,energy
0.05,0.1,2,0.05,0.1,36.792883114523676,36.79288311452369,36.792883114523676,36.79288311452369,49.64954007344894,73.58576622904737,0.32528337180173034,12.856656958925264,True,31.622776601683793,3.1622776601683795,0.9112291770074531,49.64954007344894,0.0,energy
0.05,0.1,3,0.049999999999999975,0.10000000000000002,36.79288311452369,36.79288311452369,36.79288311452369,36.79288311452369,49.64954007344894,73.58576622904738,0.32528337180173045,12.85665695892525,True,31.622776601683782,3.1622776601683786,0.9112291770074531,49.64954007344896,2.1316282072803006e-14,energy
0.05,0.1,4,0.04999999999999998,0.09999999999999998,36.79288311452369,36.79288311452369,36.79288311452369,36.79288311452369,49.64954007344896,73.58576622904738,0.32528337180173017,12.85665695892527,True,31.622776601683785,3.1622776601683777,0.9112291770074531,49.64954007344896,0.0,energy
0.05,0.33,0,0.05000000000000002,0.3300000000000002,36.79288311452369,36.79288311452369,36.79288311452369,36.79288311452369,64.00549301738731,73.58576622904738,0.13019193388351694,27.21260990286362,True,31.62277660168378,10.435516278555653,0.7577457327968068,64.00549301738742,1.1368683772161603e-13,superadditive
0.05,0.33,1,0.05,0.3299999999999998,36.792883114523654,36.79288311452369,36.792883114523654,36.79288311452369,64.00549301738731,73.58576622904735,0.1301919338835166,27.212609902863655,True,31.622776601683803,10.435516278555648,0.7577457327968071,64.00549301738737,5.684341886080802e-14,energy
0.05,0.33,2,0.05,0.32999999999999985,36.792883114523676,36.79288311452369,36.792883114523676,36.79288311452369,64.00549301738737,73.58576622904737,0.13019193388351602,27.21260990286369,True,31.6227766016838,10.43551627855565,0.7577457327968071,64.00549301738737,0.0,energy
0.05,0.33,3,0.05000000000000001,0.33,36.792883114523676,36.792883114523676,36.792883114523676,36.792883114523676,64.00549301738731,73.58576622904735,0.1301919338835166,27.212609902863633,True,31.622776601683796,10.435516278555653,0.7577457327968069,64.00549301738737,5.684341886080802e-14,superadditive
0.05,0.33,4,0.05000000000000002,0.33,36.79288311452369,36.79288311452369,36.79288311452369,36.79288311452369,64.00549301738731,73.58576622904738,0.13019193388351694,27.21260990286362,True,31.622776601683793,10.435516278555651,0.7577457327968069,64.00549301738742,1.1368683772161603e-13,superadditive
